medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_brooklyn, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
7AFEB60BF1B7FA5176F29F8D7FACFEF0,B1D48C2F20562CFE9FE2F7018BA9F666,VTS,1.0,,2013-01-15 12:06:00,2013-01-15 13:15:00,1.0,4140.0,11.92,-73.912918,40.692863,-73.912674,40.693195,True,,,,,,,,,,,,,
11B683D81211E96F472173C69D4632D6,CBB9BB31D50BE2CA0426341D74E0D3F7,VTS,1.0,,2013-01-15 20:01:00,2013-01-15 20:04:00,1.0,180.0,0.96,-73.92598,40.703091,-73.93647,40.712219,True,,,,,,,,,,,,,
7AC145EFAEE97AEDD23A5729519A15D6,8E25DC0D1E28572AAD4E8E3CDFE53FB0,VTS,1.0,,2013-01-15 21:35:00,2013-01-15 21:40:00,5.0,300.0,0.86,-73.928719,40.697781,-73.920738,40.705185,True,,,,,,,,,,,,,
1955FB9A623713CF0A46DBEA841065A1,748C560F69E11A236009BBC2B90942DB,VTS,1.0,,2013-01-15 22:10:00,2013-01-15 22:27:00,4.0,1020.0,5.18,-73.929649,40.704391,-73.979454,40.677948,True,,,,,,,,,,,,,
F3C3AAE518C61E97A000861EC1F3B5A2,675664D583C089AF4DD8D0F9B7F98947,VTS,1.0,,2013-01-15 23:20:00,2013-01-15 23:28:00,3.0,480.0,1.76,-73.930893,40.694515,-73.910431,40.702507,True,,,,,,,,,,,,,
C355BD433805B56A9D96AA0F205E2CE3,EDA1917FE493DC0A672ACE319448B150,VTS,1.0,,2013-01-15 22:58:00,2013-01-15 23:04:00,1.0,360.0,1.44,-73.930931,40.703709,-73.942116,40.716061,True,,,,,,,,,,,,,
CDC40A1F194AA8D4CA9EF331A266E1FA,266352E176E098D2E05B75758896E874,VTS,1.0,,2013-01-15 23:01:00,2013-01-15 23:09:00,6.0,480.0,1.65,-73.93116,40.703865,-73.912537,40.693199,True,,,,,,,,,,,,,
4D107A637902E46B33682BA5B20911D4,2703CE92038E33AA5B6202E2008D5022,VTS,1.0,,2013-01-16 02:41:00,2013-01-16 02:49:00,1.0,480.0,2.09,-73.927391,40.697842,-73.961365,40.698372,True,,,,,,,,,,,,,
5341D2C0345EB5A104829B8EA26C643C,7EAD01D87E93BA1E5973EBC5ECA07689,VTS,1.0,,2013-01-16 02:25:00,2013-01-16 02:33:00,5.0,480.0,0.3,-73.92588,40.693855,-73.929909,40.696014,True,,,,,,,,,,,,,
72481E5CAC40B72474735B4E976E7289,47939637E62B828271D87F61ADA9494D,VTS,1.0,,2013-01-16 03:52:00,2013-01-16 04:01:00,3.0,540.0,1.54,-73.926872,40.692261,-73.948074,40.706554,True,,,,,,,,,,,,,
