medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_Bronx, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
E6E5919C2782FCC4D9BC84E48A84C64B,ABB2DD5580365802DDE6F3DE2A232613,VTS,1.0,,2013-01-28 22:46:00,2013-01-28 22:58:00,1.0,720.0,2.99,-73.882103,40.852139,-73.886124,40.856949,True,,,,,,,,,,,,,
E6E5919C2782FCC4D9BC84E48A84C64B,ABB2DD5580365802DDE6F3DE2A232613,VTS,1.0,,2013-01-28 23:01:00,2013-01-28 23:07:00,1.0,360.0,1.26,-73.88546,40.856617,-73.883476,40.857788,True,,,,,,,,,,,,,
E6E5919C2782FCC4D9BC84E48A84C64B,ABB2DD5580365802DDE6F3DE2A232613,VTS,1.0,,2013-01-28 23:21:00,2013-01-28 23:38:00,1.0,1020.0,6.34,-73.880112,40.856083,-73.870773,40.847069,True,,,,,,,,,,,,,
469F250223E3C6B213079BDC116DA38A,8E25696EE8EE6AFC4C69135431990FA4,CMT,1.0,N,2013-01-31 07:18:36,2013-01-31 07:30:56,1.0,739.0,2.4,-73.875191,40.855785,-73.91864,40.864372,True,,,,,,,,,,,,,
F1EF8290A54338B1396DD98E38E09143,50E45C7C10AA03EB61DA729615B32C4A,CMT,1.0,N,2013-01-18 22:52:34,2013-01-18 22:59:00,1.0,385.0,1.1,-73.88401,40.855183,-73.896683,40.862511,True,,,,,,,,,,,,,
C82249C67D41B32F8F34303381505A4B,908C9DFBBED5E75EBF0061A38D2E9C54,VTS,1.0,,2013-01-11 05:04:00,2013-01-11 05:17:00,1.0,780.0,3.38,-73.884666,40.858234,-73.890625,40.88485,True,,,,,,,,,,,,,
AEEF59F8EBF2835331D117D6EBA78643,82BB8935FAE0D11A79274C7AF15E3429,VTS,1.0,,2013-01-11 19:17:00,2013-01-11 19:26:00,1.0,540.0,1.03,-73.886246,40.85907,-73.900795,40.857944,True,,,,,,,,,,,,,
DB8409179887E6633474EE4245FA1A65,F13A6FF984A433CA71EF7D707EFBA7E4,CMT,1.0,N,2013-01-08 12:55:47,2013-01-08 13:11:04,1.0,917.0,7.1,-73.882095,40.852177,-73.925934,40.827686,True,,,,,,,,,,,,,
198109D0AF980C5BC9EB6BAB9FD86EF8,F4D65A8196B69C342ACFD28560F68D9D,CMT,1.0,N,2013-01-27 02:20:06,2013-01-27 02:20:11,1.0,4.0,12.4,-73.883987,40.858582,-73.883995,40.858582,True,,,,,,,,,,,,,
9D9A208AD124DFCAF143C78B5982185B,8D13DF4AFDE3F36B931990502191E5DE,VTS,1.0,,2013-02-02 03:06:00,2013-02-02 03:06:00,6.0,0.0,0.0,-73.886375,40.857067,-73.886398,40.857052,True,,,,,,,,,,,,,
F4EB6961CAE1BA906C27C01798A551EB,23B49AF8CFA28510B28CBCAC21B66D51,VTS,1.0,,2013-02-03 16:41:00,2013-02-03 16:51:00,6.0,600.0,1.18,-73.880783,40.861168,-73.889038,40.874275,True,,,,,,,,,,,,,
E6E5919C2782FCC4D9BC84E48A84C64B,ABB2DD5580365802DDE6F3DE2A232613,VTS,1.0,,2013-02-08 23:06:00,2013-02-08 23:13:00,1.0,420.0,1.96,-73.87841,40.859695,-73.872757,40.859413,True,,,,,,,,,,,,,
E6E5919C2782FCC4D9BC84E48A84C64B,ABB2DD5580365802DDE6F3DE2A232613,VTS,1.0,,2013-02-08 22:44:00,2013-02-08 22:50:00,1.0,360.0,0.81,-73.885704,40.857441,-73.885231,40.858547,True,,,,,,,,,,,,,
22D086BC0589178A04854A77DE6DA0B2,86E895764AA8A2D796CD6F31C9611B47,VTS,1.0,,2013-02-04 02:08:00,2013-02-04 02:24:00,5.0,960.0,3.06,-73.884819,40.8554,-73.92778,40.859238,True,,,,,,,,,,,,,
E6E5919C2782FCC4D9BC84E48A84C64B,ABB2DD5580365802DDE6F3DE2A232613,VTS,1.0,,2013-02-09 00:40:00,2013-02-09 00:46:00,1.0,360.0,1.0,-73.876534,40.864208,-73.874428,40.864239,True,,,,,,,,,,,,,
E6E5919C2782FCC4D9BC84E48A84C64B,ABB2DD5580365802DDE6F3DE2A232613,VTS,1.0,,2013-02-09 00:51:00,2013-02-09 00:59:00,1.0,480.0,1.6,-73.877319,40.863468,-73.876968,40.860836,True,,,,,,,,,,,,,
3682A5F0B37CA2DF03FD8F3B5094A4D0,EE5B3F2B703ADD274AEC36335CE70C68,VTS,1.0,,2013-02-16 03:24:00,2013-02-16 03:39:00,2.0,900.0,4.08,-73.886917,40.859322,-73.912735,40.88974,True,,,,,,,,,,,,,
DC603E7F4F7ED742461CA17C1FD3F4D6,FC53CD0E09B7686B94E53209A0E2F591,VTS,1.0,,2013-02-12 21:07:00,2013-02-12 21:14:00,1.0,420.0,1.59,-73.88221,40.857777,-73.88485,40.838215,True,,,,,,,,,,,,,
6E9146D260A81B7141AB2E0968DCB068,11F56F6FE36E98704CE0DAD8DF93F681,VTS,1.0,,2013-02-16 15:54:00,2013-02-16 16:07:00,2.0,780.0,1.44,-73.874016,40.862164,-73.896034,40.868126,True,,,,,,,,,,,,,
EA90372C2DDC6C5C4238632EEF2B1AE5,1C195B90C80FBBBD00E5335220A1B8D2,VTS,1.0,,2013-02-16 19:08:00,2013-02-16 19:10:00,1.0,120.0,0.32,-73.881378,40.854237,-73.881378,40.854237,True,,,,,,,,,,,,,
EA90372C2DDC6C5C4238632EEF2B1AE5,1C195B90C80FBBBD00E5335220A1B8D2,VTS,1.0,,2013-02-16 19:12:00,2013-02-16 19:14:00,1.0,120.0,0.85,-73.881378,40.854237,-73.871788,40.856445,True,,,,,,,,,,,,,
3F28C8A6D7D660D90AD99C7A49AFEC89,C083CBFD205D855C14824E0704F5A1CE,VTS,1.0,,2013-02-23 01:58:00,2013-02-23 02:12:00,2.0,840.0,5.69,-73.885941,40.857502,-73.898132,40.89082,True,,,,,,,,,,,,,
3456FF0ADCCA2059B16EFF7827A20B80,F73E50F78EA759805066E4BFCEF949C6,VTS,1.0,,2013-02-23 00:27:00,2013-02-23 00:42:00,1.0,900.0,2.65,-73.886856,40.857803,-73.927711,40.865898,True,,,,,,,,,,,,,
11E75EE1060FC3DD7DCCAC2CB5D8F9C1,DB84F30B78CD4B7E6C83F596696524C1,CMT,5.0,N,2013-02-28 09:22:46,2013-02-28 09:22:53,1.0,6.0,0.0,-73.884399,40.861881,-73.884407,40.861893,True,,,,,,,,,,,,,
11E75EE1060FC3DD7DCCAC2CB5D8F9C1,DB84F30B78CD4B7E6C83F596696524C1,CMT,1.0,N,2013-02-28 09:20:22,2013-02-28 09:20:24,1.0,2.0,0.0,-73.884384,40.861889,-73.884384,40.861893,True,,,,,,,,,,,,,
3932F94A3EEC2B46F8F3BEF17CF0FE6C,6F0C237F479FFEA6DA86ACEC3A91D846,CMT,1.0,N,2013-02-28 03:12:22,2013-02-28 03:20:48,1.0,506.0,2.3,-73.885529,40.85844,-73.858276,40.874348,True,,,,,,,,,,,,,
9396AA98E92043C26AAB08664B7C9D04,9C016C49AC105061C65CE36D1DF36FAD,VTS,1.0,,2013-02-25 11:57:00,2013-02-25 11:58:00,2.0,60.0,0.0,-73.882256,40.860023,-73.882233,40.860031,True,,,,,,,,,,,,,
081C2FF3C9A33C08C4CEB0BB7356B501,A58A5F6434BF6AC80EC818715E16DB21,CMT,1.0,N,2013-02-08 12:22:34,2013-02-08 12:23:21,1.0,47.0,20.2,-73.885979,40.858959,-73.887695,40.859886,True,,,,,,,,,,,,,
275D763E93CC5D954A095A731CF61F10,CBA7747E7BA8CE02430C0940C587B3D0,CMT,1.0,N,2013-02-09 00:40:39,2013-02-09 00:45:47,1.0,307.0,0.7,-73.886055,40.859047,-73.893898,40.865097,True,,,,,,,,,,,,,
964E8D255C072FF9CF81ABC92E01A045,2DF1DF0009124F637BAC9F29C211023D,CMT,1.0,N,2013-02-10 02:49:47,2013-02-10 03:01:49,2.0,721.0,6.9,-73.885017,40.858196,-73.80159,40.809269,True,,,,,,,,,,,,,
97ED1DD4A59C8F4BA31C40A673924B5E,E0848EC14E0D0D726397B01403281501,CMT,1.0,N,2013-02-10 03:23:14,2013-02-10 03:32:50,1.0,575.0,2.3,-73.886459,40.857544,-73.921463,40.868107,True,,,,,,,,,,,,,
A340720E7B4F1F4769EB1214BA6E070B,AF1177F1A79CD13123E6034DA6A2B89B,CMT,1.0,N,2013-02-13 06:06:28,2013-02-13 06:08:43,1.0,135.0,0.7,-73.878075,40.864094,-73.886711,40.866013,True,,,,,,,,,,,,,
4370BB0F0151F02C791937F2C20819E5,61EC6DAC5F47AE1EC01773F5F73BEC83,CMT,1.0,N,2013-02-14 01:54:39,2013-02-14 02:09:51,1.0,912.0,3.0,-73.882782,40.852448,-73.924919,40.861874,True,,,,,,,,,,,,,
4591B5DD928BB1A9444B706425BECD8F,D4BF0C0105A1258E2ADD412BC4AC6BA3,CMT,1.0,N,2013-02-13 13:02:53,2013-02-13 13:21:21,1.0,1108.0,2.0,-73.88414,40.858269,-73.91925,40.864887,True,,,,,,,,,,,,,
94244A84A5BEACC08C2FC63A6C475713,DCBE07698A0E5FCD02A7372D04D54F5D,CMT,1.0,N,2013-02-23 00:16:02,2013-02-23 00:27:02,1.0,659.0,1.5,-73.884109,40.858459,-73.891602,40.869976,True,,,,,,,,,,,,,
1920DC2DE67BFC92C700DAE5A0C80E21,9FE5DAB656CDB829A2B2D7F215AF5B58,CMT,5.0,N,2013-02-20 00:10:17,2013-02-20 00:11:37,1.0,80.0,0.0,-73.885033,40.85741,-73.885033,40.85741,True,,,,,,,,,,,,,
4CE8C41FACC5889E95A7DF77041D379D,32F396AB5D7E12CB54EBC3F36AE79DB4,CMT,1.0,N,2013-02-21 06:28:11,2013-02-21 06:28:40,1.0,28.0,12.0,-73.886108,40.85487,-73.886543,40.855179,True,,,,,,,,,,,,,
6E9146D260A81B7141AB2E0968DCB068,11F56F6FE36E98704CE0DAD8DF93F681,VTS,1.0,,2013-02-05 08:11:00,2013-02-05 08:27:00,1.0,960.0,1.87,-73.881561,40.851524,-73.855446,40.841911,True,,,,,,,,,,,,,
936B61A274DD5AA7B5AAD1E767C72EAC,,,,,2013/7/12 08:16,2013/7/12 08:25,,540.0,0.52,-73.885521,40.859299,-73.89032,40.861279,True,EFC0F392B912F3D371B712140FC27C85,VTS,1.0,,,,1.0,,,,,,
77D0801A31D1326C3D71CB8E5611D30C,,,,,2013/7/16 16:10,2013/7/16 16:13,,180.0,0.35,-73.884689,40.858391,-73.889977,40.861023,True,CA5758329512BB4181C32BE43C931F71,VTS,1.0,,,,1.0,,,,,,
EE1513D432B07F7E0B5E2ED1EF629086,,,,,2013/7/17 08:58,2013/7/17 09:01,,180.0,0.57,-73.886559,40.859245,-73.89547,40.862221,True,BE381B7969C0BC767DCDA7974BF6B875,VTS,1.0,,,,6.0,,,,,,
DF85538DFDC1347EB6A42B1362077A2D,,,,,2013/7/3 14:27,2013/7/3 14:37,,600.0,2.07,-73.880791,40.85614,-73.877739,40.838688,True,C2A8A89D92CB1514C5E3FE0539EFD601,VTS,1.0,,,,1.0,,,,,,
0FCAD8D2B0D6CAFB4CA81DD5137BE34E,,,,,2013/7/3 18:44,2013/7/3 19:07,,1380.0,2.45,-73.886322,40.859058,-73.925064,40.868828,True,479C9DBFA8F1E2B5E00283B03ACB3FC1,VTS,1.0,,,,2.0,,,,,,
78CAD7950B87C9C16DB014D6AE4D7D65,,,,,2013/7/2 21:35,2013/7/2 21:47,,756.0,2.4,-73.878845,40.854603,-73.878845,40.854603,True,6F0C237F479FFEA6DA86ACEC3A91D846,CMT,1.0,N,,,1.0,,,,,,
78CAD7950B87C9C16DB014D6AE4D7D65,,,,,2013/7/2 22:29,2013/7/2 22:39,,620.0,2.6,-73.878845,40.854603,-73.878845,40.854603,True,6F0C237F479FFEA6DA86ACEC3A91D846,CMT,1.0,N,,,1.0,,,,,,
78CAD7950B87C9C16DB014D6AE4D7D65,,,,,2013/7/2 22:55,2013/7/2 23:00,,323.0,1.2,-73.878845,40.854603,-73.878845,40.854603,True,6F0C237F479FFEA6DA86ACEC3A91D846,CMT,1.0,N,,,1.0,,,,,,
78CAD7950B87C9C16DB014D6AE4D7D65,,,,,2013/7/2 22:10,2013/7/2 22:25,,867.0,2.5,-73.878845,40.854603,-73.878845,40.854603,True,6F0C237F479FFEA6DA86ACEC3A91D846,CMT,1.0,N,,,1.0,,,,,,
CBE2015D17B8641EADA0BFAD797C86FF,,,,,2013/7/20 01:32,2013/7/20 01:33,,60.0,0.53,-73.885818,40.857571,-73.891212,40.861729,True,976AA1E9D64DCC18A92C21C9A2C82EC0,VTS,1.0,,,,6.0,,,,,,
32EDFD4F796FB7716AAA4B22F441F3CF,,,,,2013/7/22 01:19,2013/7/22 01:26,,420.0,1.9,-73.881973,40.857147,-73.899826,40.869812,True,C95686699914AD2534F6A2EC9FEEE29C,VTS,1.0,,,,1.0,,,,,,
FEB809EC5B02237F0D21ECB8641C860C,,,,,2013/7/7 23:55,2013/7/8 00:08,,830.0,3.3,-73.885628,40.858845,-73.913086,40.889175,True,0544E0876917569458798E5090E05805,CMT,1.0,N,,,1.0,,,,,,
